DatePeriod,AccountID,TransactionAmount,Status
2023-11-07 10:58:00,405126,500000.0,sent
2023-11-07 10:56:00,378829,7400.0,sent
2023-11-07 10:56:00,405469,3000.0,sent
2023-11-07 10:56:00,2262,2000.0,sent
2023-11-07 10:54:00,402063,1300.0,sent
2023-11-07 10:52:00,262421,50000.0,sent
2023-11-07 10:52:00,381184,523.0,sent
2023-11-07 10:49:00,384987,40430.0,sent
2023-11-07 10:49:00,405454,5000.0,sent
2023-11-07 10:48:00,488,105000.0,sent
2023-11-07 10:47:00,404624,2000.0,sent
2023-11-07 10:47:00,355892,500.0,sent
2023-11-07 10:46:00,24262,2000.0,sent
2023-11-07 10:45:00,38695,5400.0,sent
2023-11-07 10:44:00,362237,14000.0,sent
2023-11-07 10:44:00,239,15000.0,sent
2023-11-07 10:44:00,397680,10000.0,sent
2023-11-07 10:43:00,365081,161100.0,sent
2023-11-07 10:43:00,548,200000.0,sent
2023-11-07 10:41:00,548,10900.0,sent
2023-11-07 10:41:00,378910,1000.0,sent
2023-11-07 10:38:00,234649,8800.0,sent
2023-11-07 10:36:00,2520,30000.0,sent
2023-11-07 10:36:00,234649,8800.0,pending
2023-11-07 10:32:00,397569,10000.0,sent
2023-11-07 10:31:00,262054,104000.0,sent
2023-11-07 10:31:00,247966,17000.0,sent
2023-11-07 10:26:00,7376,156000.0,sent
2023-11-07 10:26:00,387297,85000.0,sent
2023-11-07 10:25:00,383279,20000.0,sent
2023-11-07 10:23:00,387297,3700.0,sent
2023-11-07 10:23:00,395264,4000.0,sent
2023-11-07 10:21:00,366710,4000.0,sent
2023-11-07 10:19:00,405146,500.0,sent
2023-11-07 10:18:00,244528,12000.0,sent
2023-11-07 10:16:00,396879,27000.0,sent
2023-11-07 10:13:00,397569,20000.0,sent
2023-11-07 10:12:00,394512,1400.0,sent
2023-11-07 10:12:00,267200,4800.0,sent
2023-11-07 10:11:00,188602,30000.0,sent
2023-11-07 10:10:00,382906,8000.0,sent
2023-11-07 10:09:00,245212,500000.0,sent
2023-11-07 10:09:00,244422,1000.0,sent
2023-11-07 10:08:00,395264,4000.0,failed
2023-11-07 10:07:00,244422,505.0,sent
2023-11-07 10:05:00,364749,1000.0,sent
2023-11-07 10:04:00,364749,2000.0,sent
2023-11-07 10:04:00,548,5800.0,sent
2023-11-07 10:01:00,247966,36000.0,sent
2023-11-07 10:01:00,397940,5000.0,sent
2023-11-07 10:00:00,367414,9600.0,sent
2023-11-07 09:54:00,387297,7000.0,sent
2023-11-07 09:54:00,356548,2500.0,sent
2023-11-07 09:52:00,355892,1500.0,sent
2023-11-07 09:52:00,354804,2000.0,sent
2023-11-07 09:48:00,387369,6350.0,sent
2023-11-07 09:48:00,137643,5000.0,sent
2023-11-07 09:48:00,355376,413000.0,sent
2023-11-07 09:44:00,13809,75000.0,sent
2023-11-07 09:44:00,64740,3000.0,sent
2023-11-07 09:42:00,356548,12350.0,sent
2023-11-07 09:42:00,354434,9000.0,sent
2023-11-07 09:37:00,358160,2200.0,sent
2023-11-07 09:35:00,548,74000.0,sent
2023-11-07 09:33:00,401705,3100.0,sent
2023-11-07 09:32:00,348964,2306000.0,sent
2023-11-07 09:31:00,87678,1000.0,sent
2023-11-07 09:30:00,357935,3000.0,sent
2023-11-07 09:29:00,367762,100000.0,sent
2023-11-07 09:29:00,355376,150000.0,sent
2023-11-07 09:29:00,368666,1000.0,sent
2023-11-07 09:29:00,354458,4000.0,sent
2023-11-07 09:29:00,382906,10200.0,sent
2023-11-07 09:25:00,13809,50000.0,sent
2023-11-07 09:25:00,231,12000.0,sent
2023-11-07 09:21:00,354434,20000.0,failed
2023-11-07 09:21:00,354434,20000.0,pending
2023-11-07 09:21:00,403646,576.73,sent
2023-11-07 09:20:00,194528,10000.0,sent
2023-11-07 09:19:00,354952,20000.0,pending
2023-11-07 09:17:00,354434,20000.0,failed
2023-11-07 09:16:00,6000,10000.0,sent
2023-11-07 09:16:00,374326,698.77,sent
2023-11-07 09:16:00,374326,690.0,pending
2023-11-07 09:16:00,354434,20000.0,failed
2023-11-07 09:15:00,379690,5000.0,sent
2023-11-07 09:15:00,99158,2000.0,sent
2023-11-07 09:15:00,346473,40000.0,sent
2023-11-07 09:14:00,346473,6000.0,sent
2023-11-07 09:12:00,354952,2000.0,pending
2023-11-07 09:10:00,346473,10000.0,sent
2023-11-07 09:10:00,27863,7000.0,sent
2023-11-07 09:10:00,6000,30000.0,sent
2023-11-07 09:09:00,27863,7000.0,pending
2023-11-07 09:08:00,27863,3000.0,sent
2023-11-07 09:08:00,237100,3000.0,sent
2023-11-07 09:07:00,405126,500000.0,sent
2023-11-07 09:06:00,349455,2800.0,sent
2023-11-07 09:06:00,405043,2000.0,sent
2023-11-07 09:03:00,350716,1000.0,sent
2023-11-07 09:02:00,248,1000.0,sent
2023-11-07 08:59:00,256219,5000.0,sent
2023-11-07 08:59:00,189789,1000.0,sent
2023-11-07 08:59:00,397680,6100.0,sent
2023-11-07 08:58:00,405235,9650.0,sent
2023-11-07 08:58:00,354434,10000.0,sent
2023-11-07 08:57:00,359381,5000000.0,sent
2023-11-07 08:56:00,248,1000.0,pending
2023-11-07 08:55:00,367231,1500.0,sent
2023-11-07 08:53:00,379690,5000.0,sent
2023-11-07 08:53:00,297,20000.0,sent
2023-11-07 08:52:00,243226,7000.0,sent
2023-11-07 08:52:00,379690,5000.0,sent
2023-11-07 08:50:00,384642,1000.0,sent
2023-11-07 08:48:00,379690,5000.0,sent
2023-11-07 08:48:00,377087,68000.0,sent
2023-11-07 08:47:00,377087,4000.0,sent
2023-11-07 08:45:00,379690,5000.0,sent
2023-11-07 08:45:00,242663,1400.0,sent
2023-11-07 08:44:00,167726,3000.0,sent
2023-11-07 08:44:00,270036,500.0,sent
2023-11-07 08:43:00,370909,1000.0,sent
2023-11-07 08:43:00,198054,500000.0,sent
2023-11-07 08:42:00,204130,3500.0,sent
2023-11-07 08:41:00,405454,1000.0,sent
2023-11-07 08:41:00,403099,49500.0,sent
2023-11-07 08:41:00,362568,2890.0,sent
2023-11-07 08:41:00,368443,1000.0,sent
2023-11-07 08:39:00,552,5000.0,sent
2023-11-07 08:38:00,393749,100000.0,sent
2023-11-07 08:36:00,25229,3000.0,sent
2023-11-07 08:35:00,401623,2740.0,sent
2023-11-07 08:35:00,389910,15000.0,sent
2023-11-07 08:35:00,253566,2000.0,sent
2023-11-07 08:35:00,355390,3700.0,sent
2023-11-07 08:34:00,403177,1000.0,sent
2023-11-07 08:34:00,393749,100000.0,sent
2023-11-07 08:33:00,373260,1500.0,sent
2023-11-07 08:33:00,395111,5000.0,sent
2023-11-07 08:33:00,379703,6000.0,sent
2023-11-07 08:31:00,355892,1000.0,sent
2023-11-07 08:31:00,401623,15000.0,sent
2023-11-07 08:31:00,1244,50000.0,sent
2023-11-07 08:30:00,378341,4000.0,sent
2023-11-07 08:29:00,1244,50000.0,sent
2023-11-07 08:28:00,379003,2000.0,sent
2023-11-07 08:28:00,2262,2000.0,sent
2023-11-07 08:28:00,2262,2000.0,pending
2023-11-07 08:28:00,357801,1400.0,sent
2023-11-07 08:27:00,354952,20000.0,pending
2023-11-07 05:48:00,7376,206000.0,failed
2023-11-07 05:42:00,262421,25000.0,failed
2023-11-07 05:39:00,7376,11000.0,pending
2023-11-07 05:39:00,7376,11000.0,failed
2023-11-07 05:39:00,405454,1000.0,failed
2023-11-07 05:37:00,367001,200000.0,failed
2023-11-07 05:26:00,262421,50000.0,failed
2023-11-07 05:18:00,405043,2500.0,failed
2023-11-07 05:07:00,405043,2500.0,failed
2023-11-07 05:05:00,7376,11000.0,pending
2023-11-07 05:05:00,7376,11000.0,failed
2023-11-07 04:50:00,348964,2306000.0,failed
2023-11-07 04:37:00,383834,800.0,failed
